uni,website,mastodonUrl,xUri,facebookUrl,linkedInUrl,instagramUrl,blueskyUrl,tiktokUrl,YouTubeUrl
http://www.wikidata.org/entity/Q655866,http://www.ovgu.de/,,https://x.com/OVGUpresse,https://www.facebook.com/OvGU.Magdeburg,https://www.linkedin.com/company/otto-von-guericke-university-magdeburg,https://www.instagram.com/uni_magdeburg,,,https://www.youtube.com/channel/UCX7seJ01ntgujN3NilAUkUw
http://www.wikidata.org/entity/Q686171,http://www.th-wildau.de/,,https://x.com/TH_Wildau,https://www.facebook.com/THWildauPage,https://www.linkedin.com/company/technische-hochschule-wildau,https://www.instagram.com/th.wildau,,,https://www.youtube.com/channel/UCEks8zzfQLzM16k4ngg01BA
http://www.wikidata.org/entity/Q689854,https://tubaf.org/en/home,,https://x.com/tubergakademie,https://www.facebook.com/bergakademie,https://www.linkedin.com/company/tu-freiberg.de,https://www.instagram.com/bergakademie_freiberg,,,https://www.youtube.com/channel/UC76MdG8Ewd7_LNajayTzBag
http://www.wikidata.org/entity/Q149481,https://www.europa-uni.de,,https://x.com/viadrina,https://www.facebook.com/europa.uni,https://www.linkedin.com/company/europa-universitaet-viadrina,https://www.instagram.com/viadrina,,,https://www.youtube.com/channel/UC6upYE5uoBnP9a6N8Gf38lQ
http://www.wikidata.org/entity/Q159895,https://www.uni-rostock.de/,,https://x.com/unirostock,https://www.facebook.com/universitaet.rostock,https://www.linkedin.com/company/university-of-rostock,https://www.instagram.com/unirostock,,,https://www.youtube.com/channel/UCqlfb7xQBoF_ftD5SznDp9g
http://www.wikidata.org/entity/Q468553,https://www.th-deg.de/,,https://x.com/th_deggendorf,https://www.facebook.com/HochschuleDeggendorf,https://www.linkedin.com/company/technische-hochschule-deggendorf,https://www.instagram.com/th_deggendorf,,https://www.tiktok.com/@th_deggendorf,https://www.youtube.com/channel/UCc2nRFYXdXbWsCUvnqTr-Zw
http://www.wikidata.org/entity/Q702524,https://www.uni-erfurt.de/,,https://x.com/unierfurt,https://www.facebook.com/UniErfurt,https://www.linkedin.com/company/university-of-erfurt,https://www.instagram.com/unierfurt,,,https://www.youtube.com/channel/UCK5TWH-olaLS8gIHAA6LmCQ
http://www.wikidata.org/entity/Q1391198,http://www.hs-kl.de/,,https://x.com/Hochschule_KL,https://www.facebook.com/hskaiserslautern,,,,,https://www.youtube.com/channel/UCeKY3Yx59e1QxInfoon761Q
http://www.wikidata.org/entity/Q879216,http://www.hbk-bs.de/,,https://x.com/HBK_BS,https://www.facebook.com/hbkbs,,,,,
http://www.wikidata.org/entity/Q1622115,http://www.hochschule-kempten.de/,,https://x.com/hskempten,https://www.facebook.com/hs.kempten,,https://www.instagram.com/hskempten,,,
http://www.wikidata.org/entity/Q1622118,http://www.htwg-konstanz.de/English.20.0.html,,https://x.com/htwg,https://www.facebook.com/htwgkonstanz,,,,,
http://www.wikidata.org/entity/Q156737,https://www.uni-kiel.de/de/,,https://x.com/kieluni,https://www.facebook.com/kieluni,,https://www.instagram.com/kieluni,,,
http://www.wikidata.org/entity/Q317087,http://www.uni-luebeck.de/,,https://x.com/UniLuebeck,https://www.facebook.com/UniLuebeck,,,,,
http://www.wikidata.org/entity/Q505170,https://www.leuphana.de/,,https://x.com/leuphana,https://www.facebook.com/leuphana,,,,,
http://www.wikidata.org/entity/Q702482,https://www.uni-bayreuth.de/,,https://x.com/unibt,,,,,,
http://www.wikidata.org/entity/Q704468,https://www.uni-passau.de/,,https://x.com/unipassau,,,,,,
http://www.wikidata.org/entity/Q761708,https://www.h-ka.de/,,https://x.com/HKAnews,,https://www.linkedin.com/company/hochschule-karlsruhe,,,,
http://www.wikidata.org/entity/Q875722,http://www.staedelschule.de/,,,,,,,,
http://www.wikidata.org/entity/Q880577,http://www.filmakademie.de/,,,,,,,,
http://www.wikidata.org/entity/Q896546,https://www.hochschule-trier.de/,,,,,,,,
http://www.wikidata.org/entity/Q1391225,http://www.fh-schwetzingen.de/,,,,,,,,
http://www.wikidata.org/entity/Q1391235,http://www.fh-westkueste.de/,,,,,,,,
http://www.wikidata.org/entity/Q1391248,https://www.fhsv.sachsen.de/,,,,,,,,
http://www.wikidata.org/entity/Q1391252,http://www.hsbund.de/,,,,,,,,
http://www.wikidata.org/entity/Q1391265,http://www.fachhochschule-edenkoben.de/,,,,,,,,
http://www.wikidata.org/entity/Q1391272,http://www.fhvd.de/,,,,,,,,
http://www.wikidata.org/entity/Q1391292,http://www.hoev-rlp.de/,,,,,,,,
http://www.wikidata.org/entity/Q1391293,https://www.hspv.nrw.de/,,,,,,,,
http://www.wikidata.org/entity/Q1441039,https://www.hs-albsig.de/,,,,,,,,
http://www.wikidata.org/entity/Q1441203,https://www.ph-freiburg.de/,,,,,,,,
http://www.wikidata.org/entity/Q1481465,http://www.hfpv.de,,,,,,,,
http://www.wikidata.org/entity/Q1492202,http://www.popakademie.de,,,,,,,,
http://www.wikidata.org/entity/Q1509323,http://www.polizei.sachsen.de/de/polfh.htm,,,,,,,,
http://www.wikidata.org/entity/Q1562772,http://www.hawk-hhg.de/,,,,,,,,
http://www.wikidata.org/entity/Q1604537,http://www.hs-ludwigsburg.de/,,,,,,,,
http://www.wikidata.org/entity/Q1615884,http://www.studienzentrum-rotenburg.de/,,,,,,,,
http://www.wikidata.org/entity/Q1622071,http://www.hs-aalen.de/,,,,,,,,
http://www.wikidata.org/entity/Q1622072,http://www.oth-aw.de/,,,https://www.facebook.com/OTHAmbergWeiden,,,,,
http://www.wikidata.org/entity/Q1622076,http://www.hs-ansbach.de,,,,,,,,
http://www.wikidata.org/entity/Q1622079,http://www.hochschule-biberach.de/,,,,,,,,
http://www.wikidata.org/entity/Q1622101,http://www.hs-esslingen.de,,,https://www.facebook.com/hochschule.es,,https://www.instagram.com/hochschule.es,,,
http://www.wikidata.org/entity/Q1622109,http://www.hof-university.de,,,,,,,,
http://www.wikidata.org/entity/Q1622125,https://www.hwg-lu.de/,,,https://www.facebook.com/hwg.ludwigshafen,,https://www.instagram.com/hwg.ludwigshafen,,,
http://www.wikidata.org/entity/Q1622145,http://www.hswt.de/,,,,,,,,
http://www.wikidata.org/entity/Q1622175,http://www.hs-rottenburg.net,,,,,,,,
http://www.wikidata.org/entity/Q1622203,http://www.hfm-mainz.de,,,https://www.facebook.com/hfm.mainz,,,,,
http://www.wikidata.org/entity/Q1622214,https://www.hfpol-bw.de/,,,,,,,,
http://www.wikidata.org/entity/Q1391201,https://www.fh-kiel.de/,,https://x.com/vielfhkiel,https://www.facebook.com/FHKiel,https://www.linkedin.com/company//school/fachhochschule-kiel/,https://www.instagram.com/fachhochschule_kiel,,,
http://www.wikidata.org/entity/Q884358,http://www.hs-pforzheim.de,,https://x.com/hs_pforzheim,https://www.facebook.com/hs.pforzheim,,https://www.instagram.com/hspforzheim,,,
